Index,Unipolar,Bipolar,LAT,Impedance,A1,A2,A2-A1,SCI,ICL,ACL,Force,Paso
    2538 ,0.92353,0.77908,-84.99677,140.99988,-10000.00000,-89.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,32.47495,-10000.00000
    2539 ,2.08919,1.37748,-78.19572,133.61938,-10000.00000,-102.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,19.94005,-10000.00000
    2540 ,0.65497,0.47756,-74.35173,136.65044,-10000.00000,-95.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,16.23814,-10000.00000
    2541 ,1.50832,1.07208,-82.64127,134.71426,-10000.00000,-104.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.27192,-10000.00000
    2542 ,0.99306,0.73430,78.19955,137.91409,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,6.85858,-10000.00000
    2543 ,1.50980,0.77231,-55.23457,130.20000,-10000.00000,-59.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,6.93868,-10000.00000
    2544 ,0.45598,0.24821,-62.02191,141.85797,-10000.00000,-73.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,13.83727,-10000.00000
    2545 ,0.70856,0.54268,93.06909,130.89293,-10000.00000,99.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,7.95893,-10000.00000
    2546 ,0.99800,0.62056,82.00916,142.40952,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,5.06610,-10000.00000
    2547 ,1.24404,0.90145,-94.86954,132.99997,-10000.00000,-104.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,12.20232,-10000.00000
    2548 ,1.43092,1.05910,61.78297,133.30061,-10000.00000,65.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,7.53556,-10000.00000
    2549 ,0.56137,0.38452,-45.01429,134.48962,-10000.00000,-95.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,15.55511,-10000.00000
    2550 ,0.34800,0.09600,80.00000,134.00000,-10000.00000,80.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,9.85717,-10000.00000
    2551 ,0.58428,0.58558,-86.27441,138.47908,-10000.00000,-95.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,16.64584,-10000.00000
    2552 ,2.07578,1.55470,-70.67938,133.59862,-10000.00000,-104.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,18.27108,-10000.00000
    2553 ,0.40081,0.17639,-54.71363,135.00006,-10000.00000,-81.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,8.28576,-10000.00000
    2554 ,1.23437,0.50687,-76.85693,126.90455,-10000.00000,-108.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,7.43351,-10000.00000
    2555 ,1.98612,1.56085,-70.68046,133.59834,-10000.00000,-102.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,18.96274,-10000.00000
    2556 ,0.94243,0.43684,68.85068,133.08138,-10000.00000,73.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.16551,-10000.00000
    2557 ,1.77431,1.30591,-79.24709,134.16257,-10000.00000,-104.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,12.51254,-10000.00000
    2558 ,1.23600,0.70500,-104.00000,139.00000,-10000.00000,-104.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,16.00000,-10000.00000
    2559 ,1.62237,1.18358,-71.94175,134.04358,-10000.00000,-104.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,12.51065,-10000.00000
    2560 ,1.01100,0.72156,-88.10751,132.99997,-10000.00000,-104.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,9.99996,-10000.00000
    2561 ,0.98641,0.69998,-67.64819,135.52048,-10000.00000,-102.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,18.42356,-10000.00000
    2562 ,1.38330,0.97288,-66.70751,133.74358,-10000.00000,-104.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,12.46309,-10000.00000
    2563 ,1.55447,1.12023,-71.94175,134.04391,-10000.00000,-104.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,13.95864,-10000.00000
    2564 ,1.62451,1.17672,-59.70765,132.70981,-10000.00000,-104.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,14.51092,-10000.00000
    2565 ,1.06913,0.74428,-67.64832,133.14743,-10000.00000,-102.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,17.00356,-10000.00000
    2566 ,1.29421,0.92091,79.13667,136.81956,-10000.00000,77.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,11.26588,-10000.00000
    2567 ,1.00733,0.56358,67.27766,137.30830,-10000.00000,65.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.50092,-10000.00000
    2568 ,0.94791,0.63235,70.32933,138.55655,-10000.00000,65.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.07784,-10000.00000
    2569 ,0.95673,0.65576,75.65730,140.23288,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.65954,-10000.00000
    2570 ,1.15424,0.59539,64.55936,135.98616,-10000.00000,65.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,5.52209,-10000.00000
    2571 ,0.94544,0.63545,71.52628,139.32289,-10000.00000,65.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.14920,-10000.00000
    2572 ,1.32297,0.61497,62.09541,135.53644,-10000.00000,65.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,7.45884,-10000.00000
    2573 ,1.16678,1.02900,79.77762,137.24834,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,6.36067,-10000.00000
    2574 ,0.99853,0.74260,78.54209,138.74792,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,5.91380,-10000.00000
    2575 ,0.95987,0.64247,70.40359,138.55740,-10000.00000,65.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.14512,-10000.00000
    2576 ,0.99178,0.89540,75.73235,136.67819,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,5.77756,-10000.00000
    2577 ,1.54464,0.99720,-43.10133,132.01263,-10000.00000,-34.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,9.99202,-10000.00000
    2578 ,1.02709,0.73701,78.09322,138.62103,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,5.91380,-10000.00000
    2579 ,0.98484,0.69878,79.23634,139.01361,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,5.80889,-10000.00000
    2580 ,1.09501,0.68545,66.54865,136.84810,-10000.00000,65.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.56515,-10000.00000
    2581 ,0.96913,0.70028,74.23354,139.63478,-10000.00000,65.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.33420,-10000.00000
    2582 ,0.97447,0.65487,78.56810,140.63156,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,5.45445,-10000.00000
    2583 ,1.00195,0.69098,67.57239,137.30913,-10000.00000,65.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,5.00000,-10000.00000
    2584 ,1.06940,0.91797,77.61577,136.04407,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,5.45589,-10000.00000
    2585 ,1.62000,0.75300,-66.00000,135.00000,-10000.00000,-66.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.00000,-10000.00000
    2586 ,0.96490,0.77661,76.00054,136.75322,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,6.91381,-10000.00000
    2587 ,0.58917,0.35121,57.00000,136.78905,-10000.00000,103.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,11.66311,-10000.00000
    2588 ,0.60721,0.25996,-9.11456,130.34566,-10000.00000,20.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.14007,-10000.00000
    2589 ,0.99656,0.75608,68.44144,136.62659,-10000.00000,65.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,2.71430,-10000.00000
    2590 ,1.00542,0.75031,74.08846,139.44107,-10000.00000,65.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,3.75783,-10000.00000
