BlankMeshes/OC59/Index,X,Y,Z
73,51393.990652135224,-47614.38466321581,81976.48287738478
74,36365.67927883351,-24300.587370815494,104407.0381480828
75,-12747.24887332811,-46109.55936774301,122510.65536141983
76,59836.88795618805,-37632.224762930455,121260.4172154708
77,48556.15142041312,-22907.429229963385,110718.17931187309
78,47533.23167217037,-18673.889389705462,102496.8400104125
79,32697.092723210615,-77607.6173552431,129300.89966600409
80,43108.826570872094,-27690.76014751855,125999.45782341257
81,59572.386961155564,-24872.73972780503,100336.49426115239
82,53983.26009695982,-60451.23647560088,118442.81570472837
83,-17268.22489683796,-45544.4641881886,107730.47391141311
84,65774.09186024897,-15914.085000510167,103218.89883238627
85,40893.23322055086,-42692.80691669837,85792.02765172979
86,63316.83112181792,-17501.030115248166,101827.60549855376
87,-1474.3525473041054,-27477.353596845198,114942.94327346864
88,48577.51593401402,-36923.740489205185,83776.29311035313
89,52232.0621165453,-44307.351983574634,77086.26907410054
90,59344.436730148846,-25408.34151792928,100961.54116186428
91,29150.862565401807,-69287.90515564413,95280.96840991465
92,24379.447664861673,-81794.33556613019,114290.5912243844
93,39283.05428309203,-59558.99540036618,90792.80755740333
94,17005.394871134846,-29067.30092865628,98568.36176011877
95,-8493.420299377756,-62405.399102171934,113983.3161399653
96,-6983.428629296284,-56473.41623176265,119398.56955027209
97,65614.64410488769,-17649.186975207736,109781.72624785434
98,-16063.732283622749,-36683.068380408986,101933.52997924041
99,66428.94503330268,-16959.518773797347,105323.61515105398
100,30494.887948400105,-55830.19042255873,91857.72262146928
101,-16811.83230712279,-42367.34614288902,81579.84344335766
102,9992.522150822808,-68615.05276055593,96791.97371173014
103,-18275.16233305667,-32230.09777645069,122209.27664634257
104,34676.77829304249,-29575.740483282385,96474.98948556851
105,59819.46237971055,-25741.53229041769,101269.711644259
106,-13301.366787286708,-53541.299559032974,110067.17009399687
107,49399.02939215427,-32480.06577032043,88580.16365927667
108,35065.16383116508,-28472.807849717523,129232.64358663574
109,64284.29465469529,-16768.45299051463,102117.07692655825
110,22095.529385068105,-44703.62056779934,92462.47562267819
111,-4225.060416094976,-68800.40976926617,113146.85830384267
112,17058.25364154192,-80413.83412045558,103004.81438464468
113,-20511.15975630129,-19959.878681137438,117937.54251011921
114,-27167.16383343052,-31876.894993255493,111908.76287113674
115,63995.771723230704,-19228.797085845228,101879.19265957107
116,3565.9336958574827,-67087.34479540613,98074.58677343206
117,51870.79429594803,-40115.663528253346,86353.9265430554
118,2365.5805117665477,-53918.628661374,91850.5674874782
119,6574.972606919684,-69777.51568197315,125499.47835856742
120,65457.91360305921,-23019.457296401393,104846.64671818393
121,4417.462526544727,-68719.62544107644,124328.38708745466
122,38923.02275846593,-36249.94254609166,135951.24766271625
123,61580.311468328604,-25838.596391397954,101383.53948806696
124,8062.2886003578615,-36219.75455460927,94813.44726366308
125,-25073.02103949571,-43171.19798059233,103114.50511255482
126,23151.248094108123,-81551.08694638185,104792.10406690466
127,-9951.017102890488,-53271.36518222148,117373.86323457333
128,20478.12328095024,-69953.35002761052,95827.33931268136
129,-16414.836490301877,-43446.10412973424,80376.090304102
130,26472.248094406055,-30748.50059366815,96812.90915704472
131,57265.74620341565,-25861.320054521406,101736.05280513255
132,65643.56682782708,-17767.623366166164,103287.22189522255
133,16984.521180720538,-77531.08047336934,124242.01092756439
134,60025.4006479687,-16954.27215630842,102707.33023915613
135,53501.38156563028,-46415.16625439516,77571.25708610489
