Index,X,Y,Z,NormalX,NormalY,NormalZ,GroupID
     116 ,3.521,-67.138,98.001,-0.44934,-0.50655,-0.73587,0
     117 ,51.946,-40.064,86.313,0.75206,0.51664,-0.40926,0
     118 ,2.358,-53.924,91.751,-0.07580,-0.05371,-0.99567,0
     119 ,6.519,-69.804,125.578,-0.55973,-0.26484,0.78522,0
     120 ,65.540,-23.067,104.815,0.82086,-0.47543,-0.31647,0
     121 ,4.363,-68.746,124.408,-0.54463,-0.26375,0.79613,0
     122 ,38.913,-36.207,136.041,-0.10023,0.42943,0.89752,0
     123 ,61.612,-25.902,101.313,0.31688,-0.63403,-0.70540,0
     124 ,8.043,-36.197,94.718,-0.19289,0.22755,-0.95447,0
     125 ,-25.163,-43.213,103.102,-0.89979,-0.41802,-0.12505,0
     126 ,23.159,-81.640,104.747,0.07752,-0.88913,-0.45104,0
     127 ,-10.023,-53.328,117.414,-0.71983,-0.56635,0.40137,0
     128 ,20.464,-69.996,95.738,-0.14123,-0.42650,-0.89339,0
     129 ,-16.356,-43.386,80.322,0.58837,0.60104,-0.54090,0
     130 ,26.471,-30.678,96.742,-0.01248,0.70500,-0.70909,0
     131 ,57.252,-25.921,101.657,-0.13746,-0.59680,-0.79053,0
     132 ,65.729,-17.781,103.237,0.85433,-0.13377,-0.50222,0
     133 ,16.938,-77.616,124.267,-0.46521,-0.84919,0.24989,0
     134 ,59.988,-16.895,102.636,-0.37401,0.59272,-0.71330,0
     135 ,53.577,-46.420,77.506,0.75618,-0.04834,-0.65257,0
     136 ,61.718,-16.227,102.086,-0.26581,0.40947,-0.87274,0
     137 ,52.478,-65.038,101.471,0.70177,-0.61614,-0.35762,0
     138 ,62.991,-15.538,102.344,-0.00857,0.49995,-0.86601,0
     139 ,18.946,-82.563,110.711,-0.21358,-0.96667,0.14116,0
     140 ,-0.130,-34.693,124.491,-0.41216,0.40612,0.81559,0
     141 ,-19.576,-47.518,104.166,-0.69940,-0.62685,0.34337,0
     142 ,65.308,-16.660,102.388,0.59345,-0.03544,-0.80409,0
     143 ,38.058,-75.395,99.215,0.22145,-0.72841,-0.64837,0
     144 ,-6.717,-64.191,117.519,-0.85885,-0.12962,0.49555,0
     145 ,6.615,-67.270,96.358,-0.28592,-0.49033,-0.82330,0
     146 ,65.955,-20.571,104.465,0.87484,-0.09791,-0.47442,0
     147 ,66.052,-15.319,104.307,0.92647,0.34348,-0.15388,0
     148 ,28.119,-71.951,95.850,0.18607,-0.71942,-0.66918,0
     149 ,60.157,-17.474,108.387,-0.28406,0.60440,0.74431,0
     150 ,57.636,-56.256,100.713,0.66330,-0.25141,-0.70486,0
     151 ,66.806,-16.698,107.671,0.85776,0.42773,0.28514,0
     152 ,10.813,-75.474,122.493,-0.26113,-0.93819,0.22719,0
     153 ,55.666,-27.854,103.127,-0.11158,-0.33815,-0.93445,0
     154 ,-21.717,-45.949,81.764,-0.98251,0.05544,0.17776,0
     155 ,-7.441,-35.516,97.020,-0.09806,0.61701,-0.78082,0
     156 ,-22.827,-18.988,118.771,-0.07619,0.99708,0.00416,0
     157 ,66.256,-15.826,107.875,0.68934,0.62830,0.36063,0
     158 ,19.550,-34.125,94.734,-0.14831,0.25180,-0.95635,0
     159 ,65.034,-15.456,102.507,0.35069,0.44109,-0.82611,0
     160 ,0.531,-35.254,96.523,-0.06749,0.49977,-0.86353,0
     161 ,66.812,-22.553,106.926,0.96343,-0.25684,-0.07638,0
