BlankMeshes/OC59/Index,X,Y,Z
123,61738.7541266856,-26155.614434408188,101030.84204773215
124,7965.845598568547,-36105.98178156291,94336.21094534772
125,-25522.915842017155,-43380.20807763067,103051.97954978074
126,23190.007623567497,-81995.65221447256,104566.5837323813
127,-10310.931588438048,-53554.53927111409,117574.54706170666
128,20407.506876199033,-70166.59988955785,95380.64274927456
129,-16120.654038792498,-43145.58348106307,80105.63878359197
130,26466.007622375782,-30395.997625327407,96458.36337182113
131,57197.015186337405,-26159.719781914373,101340.78877946972
132,66070.73268869171,-17834.506535335327,103036.11241910973
133,16751.91527711784,-77955.67810652264,124366.95628974237
134,59838.39740812517,-16657.911374766318,102350.67904337546
135,53879.47373747885,-46439.334982419365,77244.97165558045
136,61611.676027289584,-16063.212635098625,101736.90271853573
137,52758.70773151289,-65284.45689223205,101327.953959369
138,62987.571350819206,-15338.019250146715,101997.59569279104
139,18860.566933717208,-82949.66924392268,110767.46314718286
140,-294.86256314977356,-34530.54995220728,124817.23659703325
141,-19855.759408285816,-47768.73876442437,104303.348991589
142,65545.38185354376,-16674.17457731765,102066.36521182249
143,38146.57899461158,-75686.36249434136,98955.65147271522
144,-7060.54038653406,-64242.848532803124,117717.22142282355
145,6500.632931691763,-67466.13245967377,96028.67913526639
146,66304.93462405319,-20610.161650533348,104275.23139349131
147,66422.5865623927,-15181.606477044048,104245.44823622577
148,28193.427662570924,-72238.76895161724,95582.32565769326
149,60043.37463836274,-17232.237927953724,108684.7253393863
150,57901.31827860115,-56356.563992580064,100431.05480242344
151,67149.1020939605,-16526.908433614175,107785.05537703927
152,10708.546986526202,-75849.27506728537,122583.87459408546
153,55621.36989959337,-27989.260397091486,102753.21827343175
154,-22110.00429552472,-45926.823078672685,81835.10420423266
155,-7480.222864215027,-35269.1980820339,96707.66943759692
156,-22857.47769001741,-18589.16627782754,118772.66507335045
157,66531.73532076557,-15574.680444536878,108019.25156471986
158,19490.678499307898,-34024.279119793726,94351.46076822616
159,65174.27479740947,-15279.563830728614,102176.55596633535
160,504.0031516151048,-35054.09247669254,96177.58987811246
161,67197.37215581347,-22655.737921858483,106895.45133495754
162,22723.422688342816,-39942.67760894271,137151.8018632392
163,26643.33784622502,-38020.374833818896,136216.1424896228
164,65616.41547266053,-24071.834632767022,106731.5074957937
165,68049.88774250502,-19056.636888787183,109207.15534746372
166,34285.32007641218,-73732.51625817624,132481.78870746976
167,-21256.06431848009,-54890.239903422706,84813.31022285264
168,-11120.820845659231,-51024.97893346557,81059.99088444503
169,18438.493083891328,-82916.81077289917,109251.50589567216
170,41360.003015870025,-61021.83504743178,139689.94227608456
171,-22393.62959735028,-49692.90155289192,78665.96366447643
172,68467.33306442136,-20789.89910942211,109392.87399154968
173,-14762.021544265963,-56037.37531201723,104905.87918021483
174,46590.78014818254,-20579.237440085584,107401.13844568512
175,58409.14346277959,-59579.19826145985,109355.63784339081
176,-19983.468707316875,-48562.37848166399,100961.5574990086
177,-21288.220060300144,-47925.993739099074,88824.30874706092
178,67735.95806526116,-22432.294943506506,109643.59648293653
179,-2613.5669019697707,-26728.770990508263,102966.40868250676
180,37139.337647846885,-70100.22010143916,134630.97515611537
181,47004.70494357093,-32368.352139101775,86444.51275514597
182,60949.872021929434,-27984.397348723844,102709.38649030754
183,-11643.416440202924,-41138.29646352888,88502.3086577694
184,-3047.989661653419,-70082.38113018508,116301.92980028792
185,31014.413057523034,-27655.23514209835,120913.48035811294
186,57424.64566641037,-27243.762450764607,101998.21711002704
187,33838.376793863674,-72187.58196590967,95758.39440864089
188,9408.804282102967,-68115.43777393001,128774.92264473556
189,23254.69144026737,-71294.52649280553,95514.86415101975
190,59013.468229498976,-16308.410151219174,103138.14330822784
