Points_0,Points_1,Points_2,Points_Magnitude,meshID
52555.8,-46772,92245.6,116013,4345
53042.1,-47453.9,92935.5,117057,4346
52841.4,-47940.8,91983.8,116411,4347
53099.9,-48389.1,92931.7,117462,4348
52724.1,-46777.3,93009,116699,4349
52325.8,-45956.9,93038.9,116216,4350
66934.2,-21422.5,107517,128448,4351
67144.9,-20505.2,108138,128929,4352
67138,-21207.3,108200,129091,4353
66895,-19986.1,109046,129481,4354
67100.9,-21065.2,108764,129522,4355
66881.8,-22027.4,108537,129378,4356
47033.8,-19760.1,105027,116762,4410
47350.7,-19995,105640,117481,4411
48109.6,-19378.3,105054,117160,4412
64071.5,-16735.2,108858,127418,4443
64160.3,-17443.6,109817,128377,4444
64786.8,-17016.7,109034,127966,4445
56967.1,-21739.8,110628,126319,4459
58018.7,-21522.1,110328,126498,4460
57931.1,-22141.2,110970,127124,4461
57230.6,-22218.5,111154,126981,4462
61233.7,-18508.4,109370,126704,4474
60753.6,-19449,109330,126579,4475
61946.2,-19712.1,109039,126946,4476
61358.8,-21005.7,109462,127232,4477
62322.7,-20756.7,109180,127418,4478
63142,-20283.8,109578,128085,4479
66930.8,-16758,106807,127155,4487
66463.9,-16864.3,107698,127674,4488
66282.2,-17577.7,108625,128459,4489
65543.4,-16737.1,108957,128249,4490
43804.6,-46840.6,84009.4,105690,4496
43646.5,-47557.8,84888.8,106644,4497
43279.5,-46742.3,84795.9,106058,4498
42959.5,-47297.5,85481.8,106723,4499
43707.4,-48264.9,85375,107372,4506
63017.8,-25535.8,106569,126413,4512
62896.6,-25523.8,105695,125614,4513
62163.5,-26015.5,106228,125799,4514
62335.3,-26178.8,105436,125251,4515
51884.7,-42647.1,92603.2,114395,4569
52349.9,-43693.6,92885.6,115228,4570
51809.8,-43835.9,92183.9,114471,4571
52593.4,-42869.8,93678,115670,4572
52757.8,-43673,93765.7,116115,4573
53124.1,-43216.2,94479.6,116688,4574
52409.6,-41871.1,93403.1,114996,4575
48902.8,-32779.8,89495.9,107124,4580
48033.4,-32878.7,90517.1,107618,4581
48901.8,-33044.9,90423.1,107980,4582
48698.5,-33090.5,91236.9,108585,4583
47730.5,-32147.1,90102.9,106912,4584
43765.5,-20347.3,104509,115115,4596
44777.1,-20026.3,104451,115395,4597
44450.2,-20215.1,103693,114615,4598
45192.9,-20370.5,103075,114376,4599
66367.3,-19817,106309,126882,4617
65977.4,-19827.3,104878,125481,4618
66114.6,-18702.8,105337,125765,4619
66640.9,-18162.5,106760,127156,4620
66512.5,-17672.4,105659,126095,4621
66484.7,-18869.2,106081,126607,4622
66919.1,-17130.4,106170,126664,4623
66404.2,-19561.2,107116,127538,4624
53806.6,-39204.3,98457.9,118853,4666
53318.4,-39165.7,97580.4,117893,4667
53261.5,-39314.7,98179.2,118413,4668
52657.2,-39624.4,98089.9,118171,4669
52639.4,-39022.6,96838.3,116924,4670
54098.3,-38925.5,97328.3,117960,4671
54740,-39113.1,98373.8,119179,4672
53090.7,-39549.7,99014.9,119108,4673
43740,-35411.6,85060.9,101993,4698
44543.2,-34963.6,85032.7,102162,4699
45005.7,-35603.2,84390.6,102053,4700
44192.9,-36092.1,84997.3,102373,4701
44584.1,-36786.4,83836.8,101831,4702
62711.2,-18677.4,109287,127378,4760
62106.6,-17673.3,108859,126570,4761
43786.8,-44841.8,83160.9,104134,4813
43871.3,-45594.5,83080.8,104432,4814
43666.2,-45681.5,83928.6,105060,4815
44269.5,-46278.8,83481.4,105217,4816
42895.8,-44133.1,84348.4,104415,4817
43247.6,-43668.8,83414.4,103611,4818
43281.1,-44734.2,83901.5,104469,4819
43678.6,-44073.2,83049.1,103670,4820
42630,-45019.5,84842.4,105082,4821
42924.4,-45586.3,84337,105040,4822
66962.6,-19546.1,108430,128931,4829
66983,-19607,107563,128222,4830
66776.3,-20356.7,107627,128285,4831
47988,-38860,81494,102246,4939
49020.8,-38858,81660.1,102866,4940
48936.6,-38401.7,82461.8,103293,4941
47603.1,-38092.2,82097.6,102260,4942
48251.9,-37772,82358.2,102654,4943
48535.3,-37783.2,82980.3,103291,4944
47201,-36970.9,83373,102693,4945
46980.3,-37549.8,82864.5,102390,4946
47952,-37308.2,83142.7,102976,4947
64738.2,-22714,109338,129080,4952
65487.2,-22531.9,109325,129415,4953
64808.9,-22020.2,109771,129363,4954
65468,-21597.9,109622,129497,4955
46852.8,-32217.4,90009.9,106466,4988
47376.5,-31957,90980.5,107439,4989
63783.2,-18147.8,102344,121951,4994
62973.6,-17888,102008,121208,4995
63958,-17360.9,102109,121730,4996
64658.4,-17260.5,102610,122505,4997
52808.2,-22060.8,101504,116527,5008
52347.3,-21383.6,101527,116212,5009
53432.4,-21350.1,101482,116660,5010
52400.7,-20729,101972,116507,5011
51662.5,-21561,102047,116394,5012
50654.9,-20940.4,102023,115815,5013
51381.9,-20269.4,102193,116165,5014
51974.3,-22364.9,101614,116305,5015
51195.4,-22729.5,101917,116296,5016
52209.6,-23208.1,101367,116360,5017
